Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
21,OAK-8.2,DET-5.1,LAA-2.0,ATL-2.3,CHW-4.3,CHW-1.0,NYM-1.0,MIL-0.6,SDP-0.7,BAL-0.7,MIL-1.1,CHC0.3,SDP-1.3,SDP-1.5,TEX-0.8,BOS-0.9
22,TOR-8.6,OAK-5.4,ATL-2.5,OAK-2.4,PHI-4.8,ARI-1.1,LAA-1.5,SFG-0.7,MIA-0.8,TOR-1.1,TEX-1.3,BAL0.1,ATL-1.4,COL-1.8,OAK-0.9,KCR-1.1
23,CIN-8.7,CHW-5.5,OAK-3.1,TBR-2.5,ATL-4.9,HOU-1.1,TEX-1.5,ARI-0.7,NYM-1.2,DET-1.2,CHC-1.3,TEX-0.5,BAL-1.9,PIT-2.0,CHW-1.5,WSN-1.1
24,BAL-8.7,ATL-5.6,TBR-3.6,SEA-2.7,TEX-6.4,TOR-1.3,PIT-1.6,NYM-0.8,KCR-1.3,TBR-1.2,TOR-1.4,LAD-0.7,PIT-2.0,OAK-2.0,HOU-1.9,TOR-1.3
25,CHW-9.8,TBR-6.1,CHW-5.6,HOU-3.0,DET-7.1,COL-1.5,SEA-1.6,SDP-0.9,ATL-1.3,PIT-1.6,ARI-1.8,CIN-0.7,PHI-2.2,BAL-2.5,BAL-2.0,ATL-1.4
26,NYM-10.0,SDP-7.0,NYM-6.1,NYM-3.1,PIT-7.6,TBR-1.7,COL-1.8,CIN-1.0,BOS-1.6,SDP-1.8,SFG-2.3,MIL-0.8,TEX-2.4,KCR-3.7,TOR-2.2,PHI-1.4
27,ATL-10.5,BAL-7.2,SDP-6.4,MIN-3.3,SDP-8.7,PIT-1.8,BAL-2.3,TBR-1.4,DET-1.6,ATL-1.9,COL-2.4,OAK-1.4,COL-2.4,TOR-3.8,KCR-2.5,SDP-1.5
28,DET-12.2,NYM-8.8,BAL-7.9,DET-5.0,TOR-9.1,OAK-2.0,PHI-2.3,TOR-1.4,PHI-1.8,NYM-2.1,WSN-2.5,DET-1.8,SFG-2.8,TEX-4.2,DET-2.5,PIT-1.8
29,SFG-13.7,CIN-15.8,MIA-8.5,CIN-5.0,KCR-10.6,SDP-2.2,DET-2.3,LAA-1.9,LAA-1.8,CHW-2.6,KCR-2.7,CHW-2.6,TOR-3.1,ATL-4.4,BOS-2.5,COL-1.8
30,SDP-15.7,MIA-16.9,CIN-9.8,MIA-7.3,SFG-15.4,WSN-3.7,NYY-2.4,TEX-2.9,SFG-3.5,KCR-3.2,ATL-3.7,SFG-3.9,KCR-3.3,SFG-9.0,LAA-3.8,SFG-3.0
AVG,-0.0,-0.1,0.5,-0.5,0.0,-0.2,0.2,0.2,0.5,0.4,-0.3,0.7,0.1,0.5,-0.6,-0.8
